:START_ID,:END_ID,:TYPE
llm,transformer,RELATED_TO
llm,token,MENTIONS
llm,tool-calling,MENTIONS
transformer,llm,UPPER_OF
transformer,attention,RELATED_TO
attention,transformer,UPPER_OF
attention,context-window,RELATED_TO
token,llm,UPPER_OF
token,context-window,RELATED_TO
token,prompt-caching,RELATED_TO
context-window,llm,UPPER_OF
context-window,token,RELATED_TO
context-window,context-compression,RELATED_TO
context-window,lost-in-the-middle,RELATED_TO
system-prompt,prompt,UPPER_OF
system-prompt,prompt-caching,RELATED_TO
system-prompt,soul-md,RELATED_TO
system-prompt,system-prompt-tiers,RELATED_TO
system-prompt,context-compression,MENTIONS
prompt,llm,UPPER_OF
prompt,system-prompt,RELATED_TO
prompt,token,RELATED_TO
prompt-caching,prompt,UPPER_OF
prompt-caching,kv-cache,RELATED_TO
prompt-caching,role-alternation,RELATED_TO
prompt-caching,context-compression,RELATED_TO
kv-cache,attention,UPPER_OF
kv-cache,prompt-caching,RELATED_TO
sampling,llm,UPPER_OF
sampling,self-consistency,RELATED_TO
sampling,token,MENTIONS
reasoning-model,llm,UPPER_OF
reasoning-model,react,RELATED_TO
hallucination,llm,UPPER_OF
hallucination,grounding,RELATED_TO
hallucination,tool-calling,RELATED_TO
grounding,llm,UPPER_OF
grounding,hallucination,RELATED_TO
grounding,retrieval,RELATED_TO
grounding,react,RELATED_TO
auxiliary-model,llm,UPPER_OF
auxiliary-model,context-compression,RELATED_TO
auxiliary-model,curator,RELATED_TO
embedding,llm,UPPER_OF
embedding,vector-search,RELATED_TO
agent,llm,RELATED_TO
agent,tool-calling-loop,RELATED_TO
agent,aiagent,RELATED_TO
agent,tool-calling,MENTIONS
aiagent,agent,UPPER_OF
aiagent,run-conversation,RELATED_TO
aiagent,tool-calling-loop,RELATED_TO
tool-calling,agent,UPPER_OF
tool-calling,tool-schema,RELATED_TO
tool-calling,dispatch,RELATED_TO
tool-calling,react,RELATED_TO
tool-calling,llm,MENTIONS
tool-calling-loop,tool-calling,UPPER_OF
tool-calling-loop,iteration-budget,RELATED_TO
tool-calling-loop,role-alternation,RELATED_TO
tool-calling-loop,run-conversation,RELATED_TO
run-conversation,tool-calling-loop,UPPER_OF
run-conversation,aiagent,RELATED_TO
run-conversation,turn,RELATED_TO
run-conversation,grace-call,RELATED_TO
run-conversation,context-compression,MENTIONS
run-conversation,dispatch,MENTIONS
turn,tool-calling-loop,UPPER_OF
turn,role-alternation,RELATED_TO
turn,session,RELATED_TO
iteration-budget,tool-calling-loop,UPPER_OF
iteration-budget,grace-call,RELATED_TO
iteration-budget,delegation,RELATED_TO
iteration-budget,subagent,MENTIONS
grace-call,iteration-budget,UPPER_OF
grace-call,run-conversation,RELATED_TO
react,agent,UPPER_OF
react,tool-calling-loop,RELATED_TO
react,grounding,RELATED_TO
react,reasoning-model,RELATED_TO
react,tool-calling,MENTIONS
role-alternation,tool-calling-loop,UPPER_OF
role-alternation,prompt-caching,RELATED_TO
role-alternation,message-protocol,RELATED_TO
message-protocol,tool-calling,UPPER_OF
message-protocol,role-alternation,RELATED_TO
message-protocol,tool-call-id,RELATED_TO
tool-call-id,message-protocol,UPPER_OF
tool-call-id,parallel-tool-calls,RELATED_TO
parallel-tool-calls,tool-calling,UPPER_OF
parallel-tool-calls,tool-call-id,RELATED_TO
retry-fallback,run-conversation,UPPER_OF
retry-fallback,provider,RELATED_TO
retry-fallback,credential-pool,RELATED_TO
provider,llm,UPPER_OF
provider,retry-fallback,RELATED_TO
provider,model-metadata,RELATED_TO
provider,moa,RELATED_TO
model-metadata,provider,UPPER_OF
model-metadata,context-window,RELATED_TO
credential-pool,provider,UPPER_OF
credential-pool,retry-fallback,RELATED_TO
moa,agent,UPPER_OF
moa,proposer-aggregator,RELATED_TO
moa,ensemble,RELATED_TO
moa,moe,RELATED_TO
moa,llm,MENTIONS
proposer-aggregator,moa,UPPER_OF
proposer-aggregator,llm-as-judge,RELATED_TO
ensemble,moa,RELATED_TO
ensemble,self-consistency,RELATED_TO
self-consistency,ensemble,UPPER_OF
self-consistency,sampling,RELATED_TO
self-consistency,moa,RELATED_TO
llm-as-judge,ensemble,UPPER_OF
llm-as-judge,proposer-aggregator,RELATED_TO
moe,moa,RELATED_TO
subagent,agent,UPPER_OF
subagent,delegation,RELATED_TO
subagent,iteration-budget,RELATED_TO
delegation,subagent,UPPER_OF
delegation,kanban,RELATED_TO
kanban,delegation,UPPER_OF
kanban,cron,RELATED_TO
tool,tool-calling,UPPER_OF
tool,tool-schema,RELATED_TO
tool,handler,RELATED_TO
tool,toolset,RELATED_TO
tool-schema,tool,UPPER_OF
tool-schema,json-schema,RELATED_TO
tool-schema,narrow-waist,RELATED_TO
json-schema,tool-schema,UPPER_OF
tool-registry,tool,UPPER_OF
tool-registry,self-registration,RELATED_TO
tool-registry,dispatch,RELATED_TO
tool-registry,check-fn,RELATED_TO
tool-registry,handler,MENTIONS
self-registration,tool-registry,UPPER_OF
self-registration,ast-discovery,RELATED_TO
ast-discovery,self-registration,UPPER_OF
dispatch,tool-registry,UPPER_OF
dispatch,handler,RELATED_TO
dispatch,error-envelope,RELATED_TO
dispatch,result-normalization,RELATED_TO
handler,tool,UPPER_OF
handler,dispatch,RELATED_TO
result-normalization,dispatch,UPPER_OF
result-normalization,error-envelope,RELATED_TO
error-envelope,dispatch,UPPER_OF
error-envelope,result-normalization,RELATED_TO
check-fn,tool-registry,UPPER_OF
check-fn,footprint-ladder,RELATED_TO
check-fn,toolset,RELATED_TO
toolset,tool,UPPER_OF
toolset,core-tools,RELATED_TO
core-tools,toolset,UPPER_OF
core-tools,narrow-waist,RELATED_TO
terminal-tool,core-tools,UPPER_OF
terminal-tool,execution-environment,RELATED_TO
terminal-tool,command-approval,RELATED_TO
file-tools,core-tools,UPPER_OF
file-tools,terminal-tool,RELATED_TO
browser-tool,tool,UPPER_OF
browser-tool,cdp,RELATED_TO
browser-tool,accessibility-tree,RELATED_TO
browser-tool,cloud-browser,RELATED_TO
browser-cdp-tool,browser-tool,UPPER_OF
browser-cdp-tool,cdp,RELATED_TO
browser-cdp-tool,escape-hatch,RELATED_TO
vision-tools,tool,UPPER_OF
vision-tools,auxiliary-model,RELATED_TO
web-search-tool,core-tools,UPPER_OF
web-search-tool,grounding,RELATED_TO
delegate-tool,tool,UPPER_OF
delegate-tool,subagent,RELATED_TO
delegate-tool,delegation,RELATED_TO
skill-tool,tool,UPPER_OF
skill-tool,skill,RELATED_TO
skill-tool,progressive-disclosure,RELATED_TO
computer-use,tool,UPPER_OF
computer-use,browser-tool,RELATED_TO
voice-mode,tool,UPPER_OF
voice-mode,gateway,RELATED_TO
max-result-size,result-normalization,UPPER_OF
max-result-size,context-window,RELATED_TO
context-engineering,system-prompt,RELATED_TO
context-engineering,context-compression,RELATED_TO
